id,name,ibge_code,state_id:id,codigo_apuracao
city_1100015,Alta Floresta D'Oeste,00015,base.state_br_ro,33
city_1100106,Guajará-Mirim,00106,base.state_br_ro,1
city_1301704,Humaitá,01704,base.state_br_am,235
city_2308302,Milagres,08302,base.state_br_ce,3727
city_2308351,Milhã,08351,base.state_br_ce,1597
city_2308377,Miraíma,08377,base.state_br_ce,1263
city_2308401,Missão Velha,08401,base.state_br_ce,1469
city_2308500,Mombaça,08500,base.state_br_ce,1471
city_2308609,Monsenhor Tabosa,08609,base.state_br_ce,1473
city_2308708,Morada Nova,08708,base.state_br_ce,1475
city_2308807,Moraújo,08807,base.state_br_ce,1477
city_2308906,Morrinhos,08906,base.state_br_ce,1479
city_2309003,Mucambo,09003,base.state_br_ce,1481
city_1301803,Ipixuna,01803,base.state_br_am,239
city_2309102,Mulungu,09102,base.state_br_ce,1483
city_2309201,Nova Olinda,09201,base.state_br_ce,1485
city_2309300,Nova Russas,09300,base.state_br_ce,1487
city_2309409,Novo Oriente,09409,base.state_br_ce,1489
city_2309458,Ocara,09458,base.state_br_ce,1265
city_2309508,Orós,09508,base.state_br_ce,1491
city_2309607,Pacajus,09607,base.state_br_ce,1493
city_2309706,Pacatuba,09706,base.state_br_ce,1495
city_2309805,Pacoti,09805,base.state_br_ce,1497
city_2309904,Pacujá,09904,base.state_br_ce,1499
city_1301852,Iranduba,01852,base.state_br_am,9835
city_2310001,Palhano,10001,base.state_br_ce,1501
city_2310100,Palmácia,10100,base.state_br_ce,1503
city_2310209,Paracuru,10209,base.state_br_ce,1505
city_2310258,Paraipaba,10258,base.state_br_ce,1599
city_2310308,Parambu,10308,base.state_br_ce,1507
city_2310407,Paramoti,10407,base.state_br_ce,1509
city_2310506,Pedra Branca,10506,base.state_br_ce,1511
city_2310605,Penaforte,10605,base.state_br_ce,1513
city_2310704,Pentecoste,10704,base.state_br_ce,1515
city_2310803,Pereiro,10803,base.state_br_ce,1517
city_1301902,Itacoatiara,01902,base.state_br_am,241
city_2310852,Pindoretama,10852,base.state_br_ce,1267
city_2310902,Piquet Carneiro,10902,base.state_br_ce,1519
city_2310951,Pires Ferreira,10951,base.state_br_ce,1269
city_2311009,Poranga,11009,base.state_br_ce,1521
city_2311108,Porteiras,11108,base.state_br_ce,1523
city_2311207,Potengi,11207,base.state_br_ce,1525
city_2311231,Potiretama,11231,base.state_br_ce,1271
city_2311264,Quiterianópolis,11264,base.state_br_ce,9917
city_2311306,Quixadá,11306,base.state_br_ce,1527
city_2311355,Quixelô,11355,base.state_br_ce,9853
city_1301951,Itamarati,01951,base.state_br_am,9837
city_2311405,Quixeramobim,11405,base.state_br_ce,1529
city_2311504,Quixeré,11504,base.state_br_ce,1531
city_2311603,Redenção,11603,base.state_br_ce,1533
city_2311702,Reriutaba,11702,base.state_br_ce,1535
city_2311801,Russas,11801,base.state_br_ce,1537
city_2311900,Saboeiro,11900,base.state_br_ce,1539
city_2311959,Salitre,11959,base.state_br_ce,1273
city_2312007,Santana do Acaraú,12007,base.state_br_ce,1541
city_2312106,Santana do Cariri,12106,base.state_br_ce,1543
city_2312205,Santa Quitéria,12205,base.state_br_ce,1545
city_1302009,Itapiranga,02009,base.state_br_am,243
city_2312304,São Benedito,12304,base.state_br_ce,1547
city_2312403,São Gonçalo do Amarante,12403,base.state_br_ce,1549
city_2312502,São João do Jaguaribe,12502,base.state_br_ce,1551
city_2312601,São Luís do Curu,12601,base.state_br_ce,1553
city_2312700,Senador Pompeu,12700,base.state_br_ce,1555
city_2312809,Senador Sá,12809,base.state_br_ce,1557
city_2312908,Sobral,12908,base.state_br_ce,1559
city_2313005,Solonópole,13005,base.state_br_ce,1561
city_2313104,Tabuleiro do Norte,13104,base.state_br_ce,1563
city_2313203,Tamboril,13203,base.state_br_ce,1565
city_1302108,Japurá,02108,base.state_br_am,245
city_2313252,Tarrafas,13252,base.state_br_ce,1275
city_2313302,Tauá,13302,base.state_br_ce,1567
city_2313351,Tejuçuoca,13351,base.state_br_ce,1277
city_2313401,Tianguá,13401,base.state_br_ce,1569
city_2313500,Trairi,13500,base.state_br_ce,1571
city_2313559,Tururu,13559,base.state_br_ce,1279
city_2313609,Ubajara,13609,base.state_br_ce,1573
city_2313708,Umari,13708,base.state_br_ce,1575
city_2313757,Umirim,13757,base.state_br_ce,9855
city_2313807,Uruburetama,13807,base.state_br_ce,1577
city_1302207,Juruá,02207,base.state_br_am,247
city_2313906,Uruoca,13906,base.state_br_ce,1579
city_2313955,Varjota,13955,base.state_br_ce,9857
city_2314003,Várzea Alegre,14003,base.state_br_ce,1581
city_2314102,Viçosa do Ceará,14102,base.state_br_ce,1583
city_2400109,Acari,00109,base.state_br_rn,1601
city_2400208,Açu,00208,base.state_br_rn,1603
city_2400307,Afonso Bezerra,00307,base.state_br_rn,1605
city_2400406,Água Nova,00406,base.state_br_rn,1607
city_2400505,Alexandria,00505,base.state_br_rn,1609
city_2400604,Almino Afonso,00604,base.state_br_rn,1611
city_1302306,Jutaí,02306,base.state_br_am,249
city_2400703,Alto do Rodrigues,00703,base.state_br_rn,1613
city_2400802,Angicos,00802,base.state_br_rn,1615
city_2400901,Antônio Martins,00901,base.state_br_rn,1617
city_2401008,Apodi,01008,base.state_br_rn,1619
city_2401107,Areia Branca,01107,base.state_br_rn,1621
city_2401206,Arês,01206,base.state_br_rn,1623
city_2401305,Augusto Severo,01305,base.state_br_rn,1625
city_2401404,Baía Formosa,01404,base.state_br_rn,1627
city_2401453,Baraúna,01453,base.state_br_rn,452
city_2401503,Barcelona,01503,base.state_br_rn,1629
city_1302405,Lábrea,02405,base.state_br_am,251
city_2401602,Bento Fernandes,01602,base.state_br_rn,1631
city_2401651,Bodó,01651,base.state_br_rn,412
city_2401701,Bom Jesus,01701,base.state_br_rn,9269
city_2401800,Brejinho,01800,base.state_br_rn,2349
city_2401859,Caiçara do Norte,01859,base.state_br_rn,414
city_2401909,Caiçara do Rio do Vento,01909,base.state_br_rn,1637
city_2402006,Caicó,02006,base.state_br_rn,1639
city_2402105,Campo Redondo,02105,base.state_br_rn,1641
city_2402204,Canguaretama,02204,base.state_br_rn,1643
city_2402303,Caraúbas,02303,base.state_br_rn,466
city_1100114,Jaru,00114,base.state_br_ro,15
city_1302504,Manacapuru,02504,base.state_br_am,253
city_2402402,Carnaúba dos Dantas,02402,base.state_br_rn,1647
city_2402501,Carnaubais,02501,base.state_br_rn,1649
city_2402600,Ceará-Mirim,02600,base.state_br_rn,1651
city_2402709,Cerro Corá,02709,base.state_br_rn,1653
city_2402808,Coronel Ezequiel,02808,base.state_br_rn,1655
city_2402907,Coronel João Pessoa,02907,base.state_br_rn,1657
city_2403004,Cruzeta,03004,base.state_br_rn,1659
city_2403103,Currais Novos,03103,base.state_br_rn,1661
city_2403202,Doutor Severiano,03202,base.state_br_rn,1663
city_2403251,Parnamirim,03251,base.state_br_rn,2507
city_1302553,Manaquiri,02553,base.state_br_am,9839
city_2403301,Encanto,03301,base.state_br_rn,1665
city_2403400,Equador,03400,base.state_br_rn,1667
city_2403509,Espírito Santo,03509,base.state_br_rn,1669
city_2403608,Extremoz,03608,base.state_br_rn,1671
city_2403707,Felipe Guerra,03707,base.state_br_rn,1673
city_2403756,Fernando Pedroza,03756,base.state_br_rn,416
city_2403806,Florânia,03806,base.state_br_rn,1675
city_2403905,Francisco Dantas,03905,base.state_br_rn,1677
city_2404002,Frutuoso Gomes,04002,base.state_br_rn,1751
city_2404101,Galinhos,04101,base.state_br_rn,1679
city_1302603,Manaus,02603,base.state_br_am,255
city_2404200,Goianinha,04200,base.state_br_rn,1681
city_2404309,Governador Dix-Sept Rosado,04309,base.state_br_rn,1683
city_2404408,Grossos,04408,base.state_br_rn,1685
city_2404507,Guamaré,04507,base.state_br_rn,1687
city_2404606,Ielmo Marinho,04606,base.state_br_rn,1689
city_2404705,Ipanguaçu,04705,base.state_br_rn,1691
city_2404804,Ipueira,04804,base.state_br_rn,1693
city_2404853,Itajá,04853,base.state_br_rn,9411
city_2404903,Itaú,04903,base.state_br_rn,1695
